,Reconstruction,Filter,error_included,number_of_clusters,number_of_clusters,number_of_clusters
,,,mean,min,max,mean
0,all,ErrGrow all,0.5853658536585366,2,63,16.48780487804878
1,all,ErrGrow maj,0.7560975609756098,20,350,104.2560975609756
2,all,std all,0.6219512195121951,7,324,90.78048780487805
3,all,std maj,0.7926829268292683,25,1153,287.7560975609756
4,col,ErrGrow,0.7073170731707317,55,542,209.28048780487805
5,col,std,0.7439024390243902,123,2059,672.219512195122
6,row,ErrGrow,0.7926829268292683,46,488,232.08536585365854
7,row,std,0.8292682926829268,63,2664,710.9634146341464
8,sub,ErrGrow,0.7560975609756098,49,576,220.23170731707316
9,sub,std,0.8048780487804879,67,1512,534.8048780487804
